month,S&P 500,S&P 500 TR,Nikkei 225,Nikkei 225 TR
,https://www.investing.com/indices/us-spx-500-historical-data,https://www.investing.com/indices/s-p-500-tr-historical-data,,
Feb-86,226.92,,"13,641.00",
Jan-86,211.78,,"13,024.00",
Dec-85,211.28,,"13,083.00",
Nov-85,202.17,,"12,763.00",
Oct-85,189.82,,"12,939.00",
Sep-85,182.08,,"12,700.00",
Aug-85,188.63,,"12,713.00",
Jul-85,190.92,,"12,263.00",
Jun-85,191.85,,"12,882.00",
May-85,189.55,,"12,790.00",
Apr-85,179.83,,"12,426.00",
Mar-85,180.66,,"12,590.00",
Feb-85,181.18,,"12,322.00",
Jan-85,179.63,,"11,993.00",
Dec-84,167.24,,"11,543.00",
Nov-84,163.58,,"11,429.00",
Oct-84,166.09,,"11,253.00",
Sep-84,166.1,,"10,649.00",
Aug-84,166.68,,"10,584.00",
Jul-84,150.66,,"9,999.00",
Jun-84,153.18,,"10,378.00",
May-84,150.55,,"9,940.00",
Apr-84,160.05,,"10,981.00",
Mar-84,159.18,,"10,929.00",
Feb-84,157.06,,,
Jan-84,163.41,,,
Dec-83,164.93,,,
Nov-83,166.4,,,
Oct-83,163.55,,,
Sep-83,166.07,,,
Aug-83,164.4,,,
Jul-83,162.56,,,
Jun-83,167.64,,,
May-83,162.39,,,
Apr-83,164.43,,,
Mar-83,152.96,,,
Feb-83,148.06,,,
Jan-83,145.3,,,
Dec-82,140.64,,,
Nov-82,138.53,,,
Oct-82,133.72,,,
Sep-82,120.42,,,
Aug-82,119.51,,,
Jul-82,107.09,,,
Jun-82,109.61,,,
May-82,111.88,,,
Apr-82,116.44,,,
Mar-82,111.96,,,
Feb-82,113.11,,,
Jan-82,120.4,,,
Dec-81,122.55,,,
Nov-81,126.35,,,
Oct-81,121.89,,,
Sep-81,116.18,,,
Aug-81,122.79,,,
Jul-81,130.92,,,
Jun-81,131.21,,,
May-81,132.59,,,
Apr-81,132.81,,,
Mar-81,136,,,
Feb-81,131.27,,,
Jan-81,129.55,,,
Dec-80,135.76,,,
Nov-80,140.52,,,
Oct-80,127.47,,,
Sep-80,125.46,,,
Aug-80,122.38,,,
Jul-80,121.67,,,
Jun-80,114.24,,,
May-80,111.24,,,
Apr-80,106.29,,,
Mar-80,102.09,,,
Feb-80,113.66,,,
Jan-80,114.16,,,
Dec-79,107.94,,,
Nov-79,106.16,,,
Oct-79,101.82,,,
Sep-79,109.32,,,
Aug-79,109.32,,,
Jul-79,103.81,,,
Jun-79,102.91,,,
May-79,99.08,,,
Apr-79,101.76,,,
Mar-79,101.59,,,
Feb-79,96.28,,,
Jan-79,99.93,,,
Dec-78,96.11,,,
Nov-78,94.7,,,
Oct-78,93.15,,,
Sep-78,102.54,,,
Aug-78,103.29,,,
Jul-78,100.68,,,
Jun-78,95.53,,,
May-78,97.24,,,
Apr-78,96.83,,,
Mar-78,89.21,,,
